Date,Time,Symbol,Open,High,Low,Close,Volume
5/19/2022,3:00 PM,GOOGL,"2,227.32","2,235.66","2,204.25","2,207.68",223441
5/19/2022,2:00 PM,GOOGL,"2,216.69","2,229.59","2,205.43","2,226.58",57354
5/19/2022,1:00 PM,GOOGL,"2,222.87","2,224.78","2,200.00","2,216.48",72542
5/19/2022,12:00 PM,GOOGL,"2,239.80","2,248.68","2,216.75","2,222.89",59638
5/19/2022,11:00 AM,GOOGL,"2,240.57","2,248.18","2,229.25","2,240.00",48104
5/19/2022,10:00 AM,GOOGL,"2,253.16","2,260.20","2,229.70","2,238.48",100241
5/19/2022,9:00 AM,GOOGL,"2,228.63","2,260.02","2,224.79","2,251.63",83085
5/18/2022,3:00 PM,GOOGL,"2,248.27","2,258.20","2,231.11","2,237.99",406007
5/18/2022,2:00 PM,GOOGL,"2,251.83","2,259.82","2,247.00","2,250.40",41152
5/18/2022,1:00 PM,GOOGL,"2,271.94","2,271.94","2,247.40","2,249.35",44757
5/18/2022,12:00 PM,GOOGL,"2,263.16","2,272.34","2,250.52","2,272.34",76635
5/18/2022,11:00 AM,GOOGL,"2,287.35","2,287.35","2,255.92","2,262.94",82041
5/18/2022,10:00 AM,GOOGL,"2,277.53","2,295.98","2,277.51","2,287.07",64531
5/18/2022,9:00 AM,GOOGL,"2,300.00","2,308.00","2,277.06","2,277.06",63676
5/17/2022,3:00 PM,GOOGL,"2,319.28","2,330.50","2,317.20","2,329.46",224295
5/17/2022,2:00 PM,GOOGL,"2,318.83","2,323.74","2,297.40","2,317.62",39786
5/17/2022,1:00 PM,GOOGL,"2,319.64","2,325.25","2,314.05","2,317.04",24311
5/17/2022,12:00 PM,GOOGL,"2,312.51","2,323.85","2,310.02","2,320.00",32417
5/17/2022,11:00 AM,GOOGL,"2,302.83","2,318.05","2,301.78","2,314.99",26581
5/17/2022,10:00 AM,GOOGL,"2,315.68","2,329.00","2,298.53","2,301.53",50583
5/17/2022,9:00 AM,GOOGL,"2,336.81","2,338.00","2,312.86","2,316.11",63046
5/16/2022,3:00 PM,GOOGL,"2,304.36","2,307.74","2,282.01","2,288.90",187235
5/16/2022,2:00 PM,GOOGL,"2,297.35","2,310.50","2,293.52","2,305.25",51406
5/16/2022,1:00 PM,GOOGL,"2,280.25","2,301.58","2,277.79","2,296.85",39742
5/16/2022,12:00 PM,GOOGL,"2,300.00","2,303.00","2,279.02","2,281.91",38599
5/16/2022,11:00 AM,GOOGL,"2,285.00","2,299.63","2,279.50","2,298.92",54773
5/16/2022,10:00 AM,GOOGL,"2,282.11","2,305.34","2,278.17","2,286.19",64594
5/16/2022,9:00 AM,GOOGL,"2,299.11","2,323.40","2,279.05","2,283.25",106513
5/13/2022,3:00 PM,GOOGL,"2,315.32","2,336.11","2,308.36","2,321.01",270130
5/13/2022,2:00 PM,GOOGL,"2,323.67","2,323.67","2,297.83","2,314.37",58939
5/13/2022,1:00 PM,GOOGL,"2,343.22","2,345.06","2,322.45","2,325.29",40414
5/13/2022,12:00 PM,GOOGL,"2,334.85","2,357.50","2,334.85","2,342.56",53773
5/13/2022,11:00 AM,GOOGL,"2,318.08","2,344.10","2,312.22","2,337.38",103527
5/13/2022,10:00 AM,GOOGL,"2,301.37","2,323.99","2,297.76","2,321.12",77436
5/13/2022,9:00 AM,GOOGL,"2,290.66","2,314.00","2,272.10","2,300.13",101420
05-12-2022,15:00:00,GOOGL,"2,207.34","2,259.48","2,207.18","2,256.88",338122
05-12-2022,14:00:00,GOOGL,"2,207.16","2,225.00","2,200.28","2,206.66",115269
05-12-2022,13:00:00,GOOGL,"2,247.16","2,249.58","2,196.49","2,205.46",114339
05-12-2022,12:00:00,GOOGL,"2,242.96","2,271.14","2,230.00","2,247.87",66154
05-12-2022,11:00:00,GOOGL,"2,279.50","2,285.90","2,241.94","2,242.47",100477
05-12-2022,10:00:00,GOOGL,"2,234.57","2,283.11","2,225.67","2,278.01",153892
05-12-2022,09:00:00,GOOGL,"2,227.55","2,258.00","2,223.17","2,236.21",186055
05-11-2022,15:00:00,GOOGL,"2,294.17","2,295.64","2,267.12","2,272.05",292713
05-11-2022,14:00:00,GOOGL,"2,273.28","2,314.54","2,273.28","2,294.08",100924
05-11-2022,13:00:00,GOOGL,"2,284.84","2,291.16","2,272.39","2,272.39",68487
05-11-2022,12:00:00,GOOGL,"2,292.00","2,302.09","2,281.52","2,285.99",48570
05-11-2022,11:00:00,GOOGL,"2,291.92","2,314.00","2,278.80","2,292.08",49798
05-11-2022,10:00:00,GOOGL,"2,305.40","2,323.00","2,283.95","2,292.17",70639
05-11-2022,09:00:00,GOOGL,"2,264.73","2,327.29","2,264.73","2,310.74",94963
05-10-2022,15:00:00,GOOGL,"2,316.74","2,325.00","2,281.74","2,287.90",268936
05-10-2022,14:00:00,GOOGL,"2,318.87","2,322.61","2,299.80","2,315.40",66906
05-10-2022,13:00:00,GOOGL,"2,280.45","2,318.84","2,275.91","2,318.36",111138
05-10-2022,12:00:00,GOOGL,"2,286.71","2,296.60","2,272.74","2,280.62",48096
05-10-2022,11:00:00,GOOGL,"2,277.80","2,297.11","2,258.01","2,285.49",84516
05-10-2022,10:00:00,GOOGL,"2,302.26","2,320.87","2,277.94","2,279.37",77059
05-10-2022,09:00:00,GOOGL,"2,310.15","2,324.51","2,282.98","2,307.64",96543
05-09-2022,15:00:00,GOOGL,"2,272.27","2,280.23","2,240.01","2,250.22",367525
05-09-2022,14:00:00,GOOGL,"2,261.37","2,273.16","2,257.55","2,270.18",54706
05-09-2022,13:00:00,GOOGL,"2,269.00","2,279.09","2,259.00","2,260.00",40006
05-09-2022,12:00:00,GOOGL,"2,276.83","2,301.54","2,267.52","2,269.60",70568
05-09-2022,11:00:00,GOOGL,"2,262.88","2,282.99","2,258.35","2,279.00",75052
05-09-2022,10:00:00,GOOGL,"2,266.87","2,280.99","2,255.53","2,264.14",110816
05-09-2022,09:00:00,GOOGL,"2,265.00","2,283.00","2,256.00","2,269.36",93810
05-06-2022,15:00:00,GOOGL,"2,302.00","2,319.60","2,292.14","2,314.93",295099
05-06-2022,14:00:00,GOOGL,"2,314.05","2,318.07","2,298.40","2,302.05",50640
05-06-2022,13:00:00,GOOGL,"2,345.22","2,349.17","2,311.89","2,316.00",66134
05-06-2022,12:00:00,GOOGL,"2,322.43","2,347.00","2,319.76","2,345.92",40918
05-06-2022,11:00:00,GOOGL,"2,334.58","2,351.43","2,307.26","2,320.00",121154
05-06-2022,10:00:00,GOOGL,"2,289.11","2,342.96","2,287.81","2,332.06",142388
05-06-2022,09:00:00,GOOGL,"2,303.69","2,314.05","2,280.31","2,288.84",91492
05-05-2022,15:00:00,GOOGL,"2,320.98","2,338.00","2,300.17","2,330.11",361708
05-05-2022,14:00:00,GOOGL,"2,322.06","2,337.62","2,318.43","2,319.82",61157
05-05-2022,13:00:00,GOOGL,"2,337.54","2,342.00","2,319.24","2,322.62",66028
05-05-2022,12:00:00,GOOGL,"2,315.01","2,339.99","2,308.93","2,332.40",60315
05-05-2022,11:00:00,GOOGL,"2,322.72","2,336.41","2,306.88","2,316.01",98720
05-05-2022,10:00:00,GOOGL,"2,383.85","2,383.85","2,300.12","2,322.51",173127
05-05-2022,09:00:00,GOOGL,"2,404.08","2,420.78","2,372.38","2,384.28",95631
05-04-2022,15:00:00,GOOGL,"2,404.22","2,457.09","2,395.66","2,445.22",493333
05-04-2022,14:00:00,GOOGL,"2,375.94","2,410.93","2,343.80","2,400.36",179073
05-04-2022,13:00:00,GOOGL,"2,358.04","2,381.14","2,353.28","2,375.17",96156
05-04-2022,12:00:00,GOOGL,"2,321.32","2,360.15","2,316.80","2,357.89",101697
05-04-2022,11:00:00,GOOGL,"2,314.77","2,323.67","2,302.32","2,321.40",52316
05-04-2022,10:00:00,GOOGL,"2,317.43","2,323.09","2,303.32","2,312.31",74160
05-04-2022,09:00:00,GOOGL,"2,340.63","2,348.10","2,317.13","2,317.93",82803
05-03-2022,15:00:00,GOOGL,"2,358.96","2,363.41","2,338.60","2,346.68",151333
05-03-2022,14:00:00,GOOGL,"2,359.01","2,361.01","2,340.38","2,359.77",44842
05-03-2022,13:00:00,GOOGL,"2,352.76","2,368.84","2,349.46","2,360.10",38069
05-03-2022,12:00:00,GOOGL,"2,351.86","2,358.45","2,333.11","2,350.87",33569
05-03-2022,11:00:00,GOOGL,"2,340.12","2,362.30","2,335.01","2,354.53",70912
05-03-2022,10:00:00,GOOGL,"2,343.82","2,351.32","2,323.14","2,338.69",55402
05-03-2022,09:00:00,GOOGL,"2,328.61","2,341.99","2,320.69","2,340.89",74021
05-02-2022,15:00:00,GOOGL,"2,285.51","2,334.91","2,282.75","2,331.66",295687
05-02-2022,14:00:00,GOOGL,"2,286.20","2,297.33","2,275.44","2,283.36",55905
05-02-2022,13:00:00,GOOGL,"2,282.22","2,292.15","2,272.64","2,284.91",55359
05-02-2022,12:00:00,GOOGL,"2,307.06","2,312.20","2,280.28","2,281.65",40621
05-02-2022,11:00:00,GOOGL,"2,291.80","2,314.33","2,287.72","2,307.76",38443
05-02-2022,10:00:00,GOOGL,"2,297.90","2,322.32","2,276.00","2,292.61",91436
05-02-2022,09:00:00,GOOGL,"2,268.10","2,304.91","2,252.00","2,298.05",104794
4/29/2022,3:00 PM,GOOGL,"2,305.49","2,309.21","2,276.29","2,282.19",472179
4/29/2022,2:00 PM,GOOGL,"2,323.01","2,323.57","2,296.23","2,307.01",74302
4/29/2022,1:00 PM,GOOGL,"2,322.33","2,336.85","2,321.17","2,323.37",44601
4/29/2022,12:00 PM,GOOGL,"2,326.93","2,327.63","2,318.11","2,324.59",38474
4/29/2022,11:00 AM,GOOGL,"2,325.94","2,343.03","2,317.24","2,325.01",49063
4/29/2022,10:00 AM,GOOGL,"2,355.23","2,355.77","2,320.32","2,324.20",106403
4/29/2022,9:00 AM,GOOGL,"2,334.69","2,358.40","2,322.35","2,354.89",88583
4/28/2022,3:00 PM,GOOGL,"2,383.20","2,392.99","2,361.08","2,370.45",289401
