Date,Time,Open,High,Low,Close,Volume
08-03-2011,11:00:00,35.898,35.93,35.695,35.825,60
08-03-2011,12:00:00,35.822,35.942,35.599,35.733,60
08-03-2011,13:00:00,35.733,35.834,35.672,35.832,60
08-03-2011,14:00:00,35.834,36.13,35.834,36.093,60
08-03-2011,15:00:00,36.092,36.108,35.968,36.025,53
08-03-2011,16:00:00,36.025,36.033,35.973,36.022,28
08-03-2011,17:00:00,36.034,36.118,35.963,36.106,29
08-03-2011,18:00:00,36.105,36.107,35.993,36.078,60
08-03-2011,19:00:00,36.074,36.084,35.969,36.056,59
08-03-2011,20:00:00,36.054,36.164,36.051,36.144,58
08-03-2011,21:00:00,36.149,36.156,36,36.01,60
08-03-2011,22:00:00,36.012,36.024,35.838,35.891,60
08-03-2011,23:00:00,35.889,35.934,35.8,35.816,60
09-03-2011,00:00:00,35.814,36.051,35.794,36.028,60
09-03-2011,01:00:00,36.027,36.052,35.863,35.928,60
09-03-2011,02:00:00,35.924,35.996,35.864,35.912,60
09-03-2011,03:00:00,35.911,35.974,35.854,35.931,60
09-03-2011,04:00:00,35.934,36.262,35.933,36.217,189
09-03-2011,05:00:00,36.216,36.242,36.081,36.147,59
09-03-2011,06:00:00,36.155,36.29,36.126,36.254,60
09-03-2011,07:00:00,36.258,36.37,36.134,36.336,59
09-03-2011,08:00:00,36.333,36.427,36.265,36.374,60
09-03-2011,09:00:00,36.374,36.374,35.914,36.214,70
09-03-2011,10:00:00,36.214,36.244,35.723,35.754,75
09-03-2011,11:00:00,35.743,36,35.617,35.951,263
09-03-2011,12:00:00,35.954,36.064,35.816,36.007,60
09-03-2011,13:00:00,36.004,36.255,35.998,36.097,60
09-03-2011,14:00:00,36.088,36.184,35.997,36.046,60
09-03-2011,15:00:00,36.044,36.138,36.043,36.069,59
09-03-2011,16:00:00,36.071,36.119,36.056,36.086,33
09-03-2011,17:00:00,36.086,36.144,36.063,36.075,30
09-03-2011,18:00:00,36.066,36.071,35.899,35.968,60
09-03-2011,19:00:00,35.966,35.986,35.846,35.903,57
09-03-2011,20:00:00,35.904,35.961,35.893,35.952,58
09-03-2011,21:00:00,35.956,36.033,35.937,35.966,60
09-03-2011,22:00:00,35.967,36.064,35.955,35.99,59
09-03-2011,23:00:00,35.994,36.124,35.98,36.09,60
10-03-2011,00:00:00,36.085,36.124,36.049,36.061,60
10-03-2011,01:00:00,36.059,36.177,36.024,36.052,60
10-03-2011,02:00:00,36.048,36.067,35.706,35.772,60
10-03-2011,03:00:00,35.766,35.862,35.643,35.775,60
10-03-2011,04:00:00,35.773,35.816,35.622,35.732,60
10-03-2011,05:00:00,35.723,35.742,35.501,35.502,60
10-03-2011,06:00:00,35.501,35.567,35.08,35.317,61
10-03-2011,07:00:00,35.319,35.344,35.086,35.293,60
10-03-2011,08:00:00,35.294,35.457,35.243,35.314,60
10-03-2011,09:00:00,35.31,35.31,34.875,35.007,62
10-03-2011,10:00:00,35.004,35.074,34.661,34.966,192
10-03-2011,11:00:00,34.968,34.996,34.746,34.859,60
10-03-2011,12:00:00,34.862,35.257,34.764,35.257,65
10-03-2011,13:00:00,35.254,35.34,35.163,35.223,87
10-03-2011,14:00:00,35.233,35.373,35.202,35.214,60
10-03-2011,15:00:00,35.214,35.281,35.093,35.281,65
10-03-2011,16:00:00,35.284,35.316,35.238,35.257,55
10-03-2011,17:00:00,34.922,35.325,34.922,35.292,52
10-03-2011,18:00:00,35.291,35.369,35.249,35.334,63
10-03-2011,19:00:00,35.339,35.341,35.276,35.304,60
10-03-2011,20:00:00,35.304,35.458,35.265,35.449,60
10-03-2011,21:00:00,35.449,35.463,35.308,35.361,60
10-03-2011,22:00:00,35.361,35.371,35.299,35.322,77
10-03-2011,23:00:00,35.322,35.322,35.078,35.129,100
11-03-2011,00:00:00,35.129,35.181,35.041,35.151,168
11-03-2011,01:00:00,35.148,35.3,35.048,35.3,167
11-03-2011,02:00:00,35.297,35.356,35.112,35.247,60
11-03-2011,03:00:00,35.249,35.329,35.025,35.137,60
11-03-2011,04:00:00,35.141,35.174,34.404,34.463,60
11-03-2011,05:00:00,34.457,34.567,34.212,34.253,79
11-03-2011,06:00:00,34.259,34.337,34.047,34.259,60
11-03-2011,07:00:00,34.267,34.579,34.223,34.534,60
11-03-2011,08:00:00,34.533,34.691,34.174,34.207,60
11-03-2011,09:00:00,34.207,34.919,34.156,34.824,60
11-03-2011,10:00:00,34.827,35.209,34.787,35.173,60
11-03-2011,11:00:00,35.173,35.872,35.087,35.809,60
11-03-2011,12:00:00,35.809,36.004,35.707,35.973,60
11-03-2011,13:00:00,35.973,36.162,35.861,36.022,60
11-03-2011,14:00:00,36.022,36.058,35.769,35.924,60
11-03-2011,15:00:00,35.928,35.942,35.803,35.883,60
11-03-2011,16:00:00,35.881,35.938,35.881,35.903,29
13-03-2011,16:00:00,35.949,36.433,35.822,36.262,30
13-03-2011,17:00:00,36.262,36.485,36.092,36.184,54
13-03-2011,18:00:00,36.191,36.375,36.176,36.335,60
13-03-2011,19:00:00,36.333,36.426,36.27,36.319,60
13-03-2011,20:00:00,36.322,36.331,35.678,35.805,60
13-03-2011,21:00:00,35.799,35.889,35.491,35.848,60
13-03-2011,22:00:00,35.85,35.862,35.691,35.781,59
13-03-2011,23:00:00,35.782,35.856,35.583,35.768,60
14-03-2011,00:00:00,35.77,35.967,35.713,35.845,60
14-03-2011,01:00:00,35.843,35.97,35.759,35.946,60
14-03-2011,02:00:00,35.946,36.062,35.621,35.695,60
14-03-2011,03:00:00,35.692,35.85,35.662,35.78,60
14-03-2011,04:00:00,35.782,35.924,35.709,35.783,60
14-03-2011,05:00:00,35.778,36.064,35.73,35.97,60
14-03-2011,06:00:00,35.971,36.21,35.839,35.885,60
14-03-2011,07:00:00,35.886,36.07,35.829,35.966,60
14-03-2011,08:00:00,35.966,36.257,35.894,35.95,60
14-03-2011,09:00:00,35.953,36.013,35.661,35.99,60
14-03-2011,10:00:00,35.986,36.148,35.91,35.925,60
14-03-2011,11:00:00,35.935,35.997,35.753,35.822,60
14-03-2011,12:00:00,35.828,35.925,35.822,35.904,60
14-03-2011,13:00:00,35.902,35.92,35.836,35.869,60
14-03-2011,14:00:00,35.873,35.879,35.824,35.845,58
14-03-2011,15:00:00,35.848,35.912,35.84,35.912,41
14-03-2011,16:00:00,35.916,35.922,35.838,35.838,48
14-03-2011,17:00:00,35.847,35.872,35.791,35.866,86
14-03-2011,18:00:00,35.866,35.877,35.727,35.797,117
14-03-2011,19:00:00,35.784,35.837,35.693,35.756,120
14-03-2011,20:00:00,35.757,35.827,35.626,35.646,149
14-03-2011,21:00:00,35.642,35.751,35.581,35.693,136
14-03-2011,22:00:00,35.687,35.714,34.604,34.92,70
14-03-2011,23:00:00,34.922,35.164,34.914,35.129,60
15-03-2011,00:00:00,35.125,35.174,35.098,35.134,60
15-03-2011,01:00:00,35.134,35.284,35.068,35.208,60
15-03-2011,02:00:00,35.211,35.256,35.177,35.244,60
15-03-2011,03:00:00,35.241,35.308,34.647,34.703,60
15-03-2011,04:00:00,34.713,34.846,34.491,34.636,60
15-03-2011,05:00:00,34.634,34.932,34.604,34.731,60
15-03-2011,06:00:00,34.731,34.794,33.662,33.697,61
15-03-2011,07:00:00,33.689,34.153,33.56,33.909,60
15-03-2011,08:00:00,33.914,34.398,33.822,34.347,60
15-03-2011,09:00:00,34.345,34.805,34.272,34.643,60
15-03-2011,10:00:00,34.644,34.678,34.222,34.505,60
15-03-2011,11:00:00,34.514,34.559,34.059,34.18,66
15-03-2011,12:00:00,34.182,34.403,34.152,34.324,60
15-03-2011,13:00:00,34.32,34.604,34.255,34.582,60
15-03-2011,14:00:00,34.583,34.592,34.302,34.348,60
15-03-2011,15:00:00,34.353,34.382,34.116,34.182,36
15-03-2011,16:00:00,34.245,34.346,34.047,34.329,30
15-03-2011,17:00:00,34.326,34.351,34.08,34.147,59
15-03-2011,18:00:00,34.144,34.418,34.123,34.418,60
15-03-2011,19:00:00,34.424,34.455,34.273,34.368,60
15-03-2011,20:00:00,34.364,34.454,34.248,34.263,60
15-03-2011,21:00:00,34.264,34.346,33.905,33.955,60
15-03-2011,22:00:00,33.954,34.102,33.954,34.054,60
15-03-2011,23:00:00,34.063,34.31,34.063,34.153,60
16-03-2011,00:00:00,34.156,34.344,34.089,34.284,60
16-03-2011,01:00:00,34.286,34.486,34.286,34.421,60
16-03-2011,02:00:00,34.412,34.47,34.254,34.321,60
16-03-2011,03:00:00,34.317,34.431,34.283,34.376,60
16-03-2011,04:00:00,34.378,34.399,34.123,34.291,59
16-03-2011,05:00:00,34.293,34.396,34.263,34.368,60
16-03-2011,06:00:00,34.365,34.774,34.333,34.634,60
16-03-2011,07:00:00,34.633,34.714,34.544,34.564,60
16-03-2011,08:00:00,34.569,34.973,34.467,34.901,60
16-03-2011,09:00:00,34.901,35.058,34.403,34.834,60
16-03-2011,10:00:00,34.84,34.914,34.398,34.569,60
16-03-2011,11:00:00,34.582,34.664,34.383,34.423,60
16-03-2011,12:00:00,34.424,34.434,33.834,34.151,60
16-03-2011,13:00:00,34.15,34.335,34.053,34.118,60
16-03-2011,14:00:00,34.116,34.294,34.103,34.197,60
16-03-2011,15:00:00,34.195,34.257,34.161,34.176,37
16-03-2011,16:00:00,34.13,34.171,33.731,33.874,30
16-03-2011,17:00:00,33.874,34.049,33.777,33.792,60
16-03-2011,18:00:00,33.787,34.014,33.711,33.973,61
16-03-2011,19:00:00,33.973,34.034,33.829,33.929,60
16-03-2011,20:00:00,33.942,33.999,33.641,33.8,60
16-03-2011,21:00:00,33.801,33.9,33.734,33.803,101
16-03-2011,22:00:00,33.802,33.962,33.763,33.957,135
16-03-2011,23:00:00,33.956,34.114,33.946,34.056,78
17-03-2011,00:00:00,34.056,34.126,34.009,34.086,60
