Date,,Symbol,Open,High,Low,Close,Volume
5/31/2022,6:00 PM,^XRPUSDT,0.424421,0.424735,0.421306,0.421755,878
5/31/2022,5:00 PM,^XRPUSDT,0.420372,0.424436,0.420372,0.424422,891
5/31/2022,4:00 PM,^XRPUSDT,0.419127,0.420925,0.419127,0.420372,827
5/31/2022,3:00 PM,^XRPUSDT,0.414578,0.419127,0.414548,0.419127,750
5/31/2022,2:00 PM,^XRPUSDT,0.413199,0.415699,0.412913,0.414578,944
5/31/2022,1:00 PM,^XRPUSDT,0.416812,0.418158,0.412743,0.413199,946
5/31/2022,12:00 PM,^XRPUSDT,0.415153,0.416813,0.413998,0.416812,943
5/31/2022,11:00 AM,^XRPUSDT,0.416841,0.417726,0.413833,0.415153,1007
5/31/2022,10:00 AM,^XRPUSDT,0.412763,0.417103,0.411124,0.416841,1042
5/31/2022,9:00 AM,^XRPUSDT,0.410907,0.413015,0.407678,0.412763,1055
5/31/2022,8:00 AM,^XRPUSDT,0.417350,0.420132,0.409917,0.410907,1035
5/31/2022,7:00 AM,^XRPUSDT,0.421688,0.422842,0.416596,0.417350,960
5/31/2022,6:00 AM,^XRPUSDT,0.419363,0.421688,0.418723,0.421688,875
5/31/2022,5:00 AM,^XRPUSDT,0.418255,0.419442,0.414988,0.419363,895
5/31/2022,4:00 AM,^XRPUSDT,0.421240,0.421255,0.417775,0.418255,879
5/31/2022,3:00 AM,^XRPUSDT,0.417644,0.421968,0.417104,0.421240,911
5/31/2022,2:00 AM,^XRPUSDT,0.418084,0.418529,0.414962,0.417644,898
5/31/2022,1:00 AM,^XRPUSDT,0.426152,0.426152,0.417220,0.418084,996
5/31/2022,12:00 AM,^XRPUSDT,0.418156,0.431614,0.417470,0.426152,1043
5/30/2022,11:00 PM,^XRPUSDT,0.418619,0.419101,0.416761,0.418156,766
5/30/2022,10:00 PM,^XRPUSDT,0.420032,0.421306,0.418236,0.418619,859
5/30/2022,9:00 PM,^XRPUSDT,0.416418,0.420032,0.415958,0.420032,876
5/30/2022,8:00 PM,^XRPUSDT,0.417161,0.418767,0.415936,0.416418,821
5/30/2022,7:00 PM,^XRPUSDT,0.418588,0.422645,0.415925,0.417161,968
5/30/2022,6:00 PM,^XRPUSDT,0.416108,0.419153,0.414749,0.418480,938
5/30/2022,5:00 PM,^XRPUSDT,0.414773,0.417944,0.412652,0.416108,972
5/30/2022,4:00 PM,^XRPUSDT,0.407077,0.414915,0.406875,0.414773,1064
5/30/2022,3:00 PM,^XRPUSDT,0.401331,0.407184,0.400627,0.407076,985
5/30/2022,2:00 PM,^XRPUSDT,0.400840,0.402741,0.400840,0.401331,765
5/30/2022,1:00 PM,^XRPUSDT,0.400898,0.401145,0.400222,0.400840,617
5/30/2022,12:00 PM,^XRPUSDT,0.399887,0.401136,0.399817,0.400904,774
5/30/2022,11:00 AM,^XRPUSDT,0.399715,0.400797,0.398667,0.399887,877
5/30/2022,10:00 AM,^XRPUSDT,0.398401,0.400791,0.398338,0.399715,853
5/30/2022,9:00 AM,^XRPUSDT,0.398487,0.401142,0.398019,0.398401,879
5/30/2022,8:00 AM,^XRPUSDT,0.397784,0.398487,0.396442,0.398487,879
5/30/2022,7:00 AM,^XRPUSDT,0.399519,0.401913,0.395303,0.397784,897
5/30/2022,6:00 AM,^XRPUSDT,0.398639,0.399609,0.398021,0.399519,678
5/30/2022,5:00 AM,^XRPUSDT,0.399561,0.399671,0.397508,0.398639,741
5/30/2022,4:00 AM,^XRPUSDT,0.399350,0.399786,0.397444,0.399561,789
5/30/2022,3:00 AM,^XRPUSDT,0.400564,0.400564,0.398603,0.399350,741
5/30/2022,2:00 AM,^XRPUSDT,0.402857,0.403122,0.400475,0.400564,780
5/30/2022,1:00 AM,^XRPUSDT,0.401333,0.404569,0.401228,0.402857,844
5/30/2022,12:00 AM,^XRPUSDT,0.396994,0.401333,0.396994,0.401333,774
5/29/2022,11:00 PM,^XRPUSDT,0.397768,0.398153,0.396701,0.396994,790
5/29/2022,10:00 PM,^XRPUSDT,0.398507,0.399175,0.397618,0.397768,855
5/29/2022,9:00 PM,^XRPUSDT,0.393833,0.401122,0.393707,0.398507,960
5/29/2022,8:00 PM,^XRPUSDT,0.388137,0.394392,0.388093,0.393833,874
5/29/2022,7:00 PM,^XRPUSDT,0.389096,0.389132,0.387498,0.388137,772
5/29/2022,6:00 PM,^XRPUSDT,0.388124,0.389424,0.388110,0.389096,656
5/29/2022,5:00 PM,^XRPUSDT,0.387907,0.389370,0.386222,0.388124,881
5/29/2022,4:00 PM,^XRPUSDT,0.387067,0.388039,0.386504,0.387907,787
5/29/2022,3:00 PM,^XRPUSDT,0.385713,0.387085,0.385713,0.387037,690
5/29/2022,2:00 PM,^XRPUSDT,0.385753,0.386598,0.385470,0.385713,656
5/29/2022,1:00 PM,^XRPUSDT,0.387087,0.387406,0.385676,0.385753,649
5/29/2022,12:00 PM,^XRPUSDT,0.387434,0.388120,0.386892,0.387087,724
5/29/2022,11:00 AM,^XRPUSDT,0.387101,0.388147,0.386892,0.387430,709
5/29/2022,10:00 AM,^XRPUSDT,0.388825,0.388918,0.386527,0.387101,802
5/29/2022,9:00 AM,^XRPUSDT,0.387618,0.389308,0.387305,0.388825,726
5/29/2022,8:00 AM,^XRPUSDT,0.388811,0.389428,0.387578,0.387618,851
5/29/2022,7:00 AM,^XRPUSDT,0.385958,0.389008,0.385958,0.388811,853
5/29/2022,6:00 AM,^XRPUSDT,0.385582,0.386316,0.385373,0.385958,812
5/29/2022,5:00 AM,^XRPUSDT,0.383343,0.385582,0.383107,0.385582,839
5/29/2022,4:00 AM,^XRPUSDT,0.383114,0.383546,0.382782,0.383343,759
5/29/2022,3:00 AM,^XRPUSDT,0.383456,0.384576,0.383005,0.383114,747
5/29/2022,2:00 AM,^XRPUSDT,0.383160,0.383775,0.382534,0.383456,670
5/29/2022,1:00 AM,^XRPUSDT,0.382797,0.383538,0.382719,0.383160,700
5/29/2022,12:00 AM,^XRPUSDT,0.382498,0.382959,0.382074,0.382797,735
5/28/2022,11:00 PM,^XRPUSDT,0.382498,0.382984,0.381955,0.382498,682
5/28/2022,10:00 PM,^XRPUSDT,0.381143,0.382525,0.380555,0.382498,753
5/28/2022,9:00 PM,^XRPUSDT,0.384675,0.384751,0.380108,0.381143,856
5/28/2022,8:00 PM,^XRPUSDT,0.385968,0.385968,0.383826,0.384675,739
5/28/2022,7:00 PM,^XRPUSDT,0.386202,0.386588,0.385232,0.385968,734
5/28/2022,6:00 PM,^XRPUSDT,0.384674,0.387334,0.384659,0.386202,743
5/28/2022,5:00 PM,^XRPUSDT,0.384718,0.384906,0.383228,0.384699,651
5/28/2022,4:00 PM,^XRPUSDT,0.385818,0.386471,0.382876,0.384718,777
5/28/2022,3:00 PM,^XRPUSDT,0.386694,0.386694,0.384872,0.385818,659
5/28/2022,2:00 PM,^XRPUSDT,0.385576,0.387343,0.385338,0.386694,717
5/28/2022,1:00 PM,^XRPUSDT,0.384013,0.385585,0.384013,0.385576,709
5/28/2022,12:00 PM,^XRPUSDT,0.385743,0.386280,0.383326,0.384013,752
5/28/2022,11:00 AM,^XRPUSDT,0.386422,0.387322,0.385690,0.385743,669
5/28/2022,10:00 AM,^XRPUSDT,0.385668,0.387153,0.385354,0.386391,804
5/28/2022,9:00 AM,^XRPUSDT,0.385802,0.386239,0.384981,0.385668,800
5/28/2022,8:00 AM,^XRPUSDT,0.385445,0.386773,0.384883,0.385799,881
5/28/2022,7:00 AM,^XRPUSDT,0.383317,0.385506,0.383128,0.385445,844
5/28/2022,6:00 AM,^XRPUSDT,0.383541,0.385381,0.383040,0.383317,870
5/28/2022,5:00 AM,^XRPUSDT,0.384647,0.384647,0.382404,0.383541,845
5/28/2022,4:00 AM,^XRPUSDT,0.385072,0.385610,0.384221,0.384647,905
5/28/2022,3:00 AM,^XRPUSDT,0.386093,0.386290,0.384085,0.385106,900
5/28/2022,2:00 AM,^XRPUSDT,0.386567,0.386690,0.385439,0.386093,892
5/28/2022,1:00 AM,^XRPUSDT,0.385498,0.386879,0.385241,0.386567,911
5/28/2022,12:00 AM,^XRPUSDT,0.386475,0.388260,0.385313,0.385498,1000
5/27/2022,11:00 PM,^XRPUSDT,0.385481,0.386702,0.384537,0.386475,939
5/27/2022,10:00 PM,^XRPUSDT,0.383388,0.385795,0.381731,0.385481,1056
5/27/2022,9:00 PM,^XRPUSDT,0.384696,0.385774,0.381127,0.383388,948
5/27/2022,8:00 PM,^XRPUSDT,0.386336,0.387080,0.384107,0.384696,1004
5/27/2022,7:00 PM,^XRPUSDT,0.381440,0.386495,0.381163,0.386336,1098
5/27/2022,6:00 PM,^XRPUSDT,0.385189,0.385842,0.381108,0.381440,1126
5/27/2022,5:00 PM,^XRPUSDT,0.384865,0.386733,0.384004,0.385189,882
5/27/2022,4:00 PM,^XRPUSDT,0.383514,0.386678,0.383514,0.384865,886
5/27/2022,3:00 PM,^XRPUSDT,0.382786,0.385862,0.381623,0.383514,1049
5/27/2022,2:00 PM,^XRPUSDT,0.378617,0.384519,0.378166,0.382786,1024
5/27/2022,1:00 PM,^XRPUSDT,0.382011,0.383191,0.377042,0.378618,1114
5/27/2022,12:00 PM,^XRPUSDT,0.385854,0.387324,0.381836,0.382011,1103
5/27/2022,11:00 AM,^XRPUSDT,0.388692,0.389512,0.385353,0.385854,1085
5/27/2022,10:00 AM,^XRPUSDT,0.388285,0.391150,0.385103,0.388692,1034
5/27/2022,9:00 AM,^XRPUSDT,0.396084,0.396209,0.387880,0.388285,1104
5/27/2022,8:00 AM,^XRPUSDT,0.395875,0.396303,0.393492,0.396084,1023
5/27/2022,7:00 AM,^XRPUSDT,0.391053,0.396315,0.389520,0.395875,1041
5/27/2022,6:00 AM,^XRPUSDT,0.390193,0.392430,0.389588,0.391053,1021
5/27/2022,5:00 AM,^XRPUSDT,0.395912,0.395970,0.388991,0.390193,1049
5/27/2022,4:00 AM,^XRPUSDT,0.392087,0.396021,0.391189,0.395912,1004
