Date,Time,Open,High,Low,Close,Volume
22-08-2017,20:00:00,314.33,316.26,311.54,312.96,397
22-08-2017,21:00:00,312.96,318.68,312.96,318.68,309
22-08-2017,22:00:00,318.68,321.49,312.98,320.28,351
22-08-2017,23:00:00,321.61,324.99,316.51,316.51,277
23-08-2017,00:00:00,320.7,320.7,315.35,315.46,278
23-08-2017,01:00:00,315.46,323.29,315.46,318.04,476
23-08-2017,02:00:00,320.29,323.3,318.02,322.06,312
23-08-2017,03:00:00,319.14,324.51,318.03,321.73,378
23-08-2017,04:00:00,321.73,324.21,319.74,319.74,265
23-08-2017,05:00:00,319.74,323.32,318.95,319.25,321
23-08-2017,06:00:00,319.96,322.35,316.88,316.88,414
23-08-2017,07:00:00,316.88,318.96,313.75,315.06,757
23-08-2017,08:00:00,315.06,318,313.81,315.99,413
23-08-2017,09:00:00,315.99,319,314.51,316.73,501
23-08-2017,10:00:00,316.73,319.32,315.53,317.33,651
23-08-2017,11:00:00,317.33,320.32,316.73,317.19,471
23-08-2017,12:00:00,317.19,321.29,317.19,318.26,213
23-08-2017,13:00:00,320.27,322.34,318.25,318.28,323
23-08-2017,14:00:00,318.28,321.43,315.53,315.53,386
23-08-2017,15:00:00,315.74,318.47,312.05,315.95,345
23-08-2017,16:00:00,315.95,319.47,313.78,314.75,189
23-08-2017,17:00:00,314.75,319.47,314.75,318.47,211
23-08-2017,18:00:00,315.45,318.47,314.74,315.22,261
23-08-2017,19:00:00,316.21,318.45,314.01,316.9,312
23-08-2017,20:00:00,316.9,318.45,314.06,317.41,266
23-08-2017,21:00:00,315.07,318.44,315.04,315.21,279
23-08-2017,22:00:00,317.38,318.44,314.31,317.99,274
23-08-2017,23:00:00,317.99,319.47,315.08,319.27,222
24-08-2017,00:00:00,317.6,322.36,316.15,319.57,373
24-08-2017,01:00:00,317.6,320.55,317.52,317.61,242
24-08-2017,02:00:00,317.61,321.14,317.61,319.56,213
24-08-2017,03:00:00,319.56,321.07,319.55,319.86,244
24-08-2017,04:00:00,319.86,322,316.9,317.42,583
