Time Series,,^ADAUSDT,,,,,,
Date,Time,Symbol,Open,High,Low,Close,Volume,
5/31/2022,6:00 PM,^ADAUSDT,0.634250,0.636847,0.625670,0.627429,1068,
5/31/2022,5:00 PM,^ADAUSDT,0.605667,0.634250,0.605648,0.634250,912,
5/31/2022,4:00 PM,^ADAUSDT,0.602646,0.606233,0.601860,0.605667,1013,
5/31/2022,3:00 PM,^ADAUSDT,0.599271,0.602646,0.598344,0.602646,1095,
5/31/2022,2:00 PM,^ADAUSDT,0.600885,0.601761,0.596284,0.599271,1092,
5/31/2022,1:00 PM,^ADAUSDT,0.617029,0.618332,0.599957,0.600885,1077,
5/31/2022,12:00 PM,^ADAUSDT,0.630161,0.631838,0.614135,0.617029,1032,
5/31/2022,11:00 AM,^ADAUSDT,0.632816,0.635853,0.621832,0.630161,1035,
5/31/2022,10:00 AM,^ADAUSDT,0.622335,0.638128,0.616421,0.632816,1047,
5/31/2022,9:00 AM,^ADAUSDT,0.618817,0.627204,0.611160,0.622335,1049,
5/31/2022,8:00 AM,^ADAUSDT,0.632905,0.635534,0.617183,0.618817,1054,
5/31/2022,7:00 AM,^ADAUSDT,0.653167,0.654706,0.629845,0.632905,1062,
5/31/2022,6:00 AM,^ADAUSDT,0.660031,0.661088,0.650019,0.653167,1053,
5/31/2022,5:00 AM,^ADAUSDT,0.652709,0.661270,0.650555,0.660031,1047,
5/31/2022,4:00 AM,^ADAUSDT,0.669685,0.669851,0.651055,0.652709,981,
5/31/2022,3:00 AM,^ADAUSDT,0.653484,0.682299,0.653194,0.669685,1023,
5/31/2022,2:00 AM,^ADAUSDT,0.651355,0.661311,0.648051,0.653484,1018,
5/31/2022,1:00 AM,^ADAUSDT,0.645421,0.662130,0.641660,0.651355,1040,
5/31/2022,12:00 AM,^ADAUSDT,0.608297,0.678420,0.607581,0.645421,1047,
5/30/2022,11:00 PM,^ADAUSDT,0.584556,0.611714,0.581074,0.608297,1066,
5/30/2022,10:00 PM,^ADAUSDT,0.585434,0.588969,0.580237,0.584556,1039,
5/30/2022,9:00 PM,^ADAUSDT,0.577555,0.589518,0.577553,0.585434,1073,
5/30/2022,8:00 PM,^ADAUSDT,0.573017,0.585461,0.572788,0.577555,1007,
5/30/2022,7:00 PM,^ADAUSDT,0.570370,0.577682,0.569444,0.573017,1005,
5/30/2022,6:00 PM,^ADAUSDT,0.564544,0.574893,0.563050,0.570370,1003,
5/30/2022,5:00 PM,^ADAUSDT,0.559566,0.566617,0.558154,0.564544,1042,
5/30/2022,4:00 PM,^ADAUSDT,0.545335,0.563068,0.545334,0.559566,1062,
5/30/2022,3:00 PM,^ADAUSDT,0.535034,0.545993,0.534401,0.545334,1087,
5/30/2022,2:00 PM,^ADAUSDT,0.536403,0.537453,0.534010,0.535034,993,
5/30/2022,1:00 PM,^ADAUSDT,0.534552,0.536403,0.533749,0.536403,992,
5/30/2022,12:00 PM,^ADAUSDT,0.533842,0.538401,0.533842,0.534552,955,
5/30/2022,11:00 AM,^ADAUSDT,0.535971,0.538525,0.533842,0.533842,1001,
5/30/2022,10:00 AM,^ADAUSDT,0.532979,0.538960,0.532886,0.535971,1012,
5/30/2022,9:00 AM,^ADAUSDT,0.531730,0.538489,0.531359,0.532979,1014,
5/30/2022,8:00 AM,^ADAUSDT,0.538051,0.538058,0.527623,0.531730,1026,
5/30/2022,7:00 AM,^ADAUSDT,0.522616,0.542145,0.517617,0.538051,994,
5/30/2022,6:00 AM,^ADAUSDT,0.518952,0.525842,0.518533,0.522616,959,
5/30/2022,5:00 AM,^ADAUSDT,0.519846,0.520296,0.516981,0.518952,947,
5/30/2022,4:00 AM,^ADAUSDT,0.519229,0.520028,0.516176,0.519846,983,
5/30/2022,3:00 AM,^ADAUSDT,0.519305,0.521533,0.518929,0.519229,1007,
5/30/2022,2:00 AM,^ADAUSDT,0.519481,0.521207,0.517348,0.519305,1010,
5/30/2022,1:00 AM,^ADAUSDT,0.516628,0.522017,0.516572,0.519481,1014,
5/30/2022,12:00 AM,^ADAUSDT,0.512923,0.518626,0.512765,0.516628,1051,
5/29/2022,11:00 PM,^ADAUSDT,0.512860,0.515216,0.512051,0.512923,1071,
5/29/2022,10:00 PM,^ADAUSDT,0.511775,0.514298,0.509448,0.512860,1070,
5/29/2022,9:00 PM,^ADAUSDT,0.495258,0.514604,0.495258,0.511775,1059,
5/29/2022,8:00 PM,^ADAUSDT,0.478094,0.496434,0.477971,0.495258,1045,
5/29/2022,7:00 PM,^ADAUSDT,0.481601,0.483268,0.477661,0.478094,1020,
5/29/2022,6:00 PM,^ADAUSDT,0.479651,0.481940,0.478826,0.481601,1024,
5/29/2022,5:00 PM,^ADAUSDT,0.474057,0.480963,0.473696,0.479651,1015,
5/29/2022,4:00 PM,^ADAUSDT,0.474220,0.474669,0.472881,0.474057,1005,
5/29/2022,3:00 PM,^ADAUSDT,0.473031,0.474643,0.473031,0.474220,1019,
5/29/2022,2:00 PM,^ADAUSDT,0.472346,0.473697,0.472021,0.473031,1045,
5/29/2022,1:00 PM,^ADAUSDT,0.474273,0.475317,0.472016,0.472346,1009,
5/29/2022,12:00 PM,^ADAUSDT,0.476791,0.476974,0.474088,0.474273,1016,
5/29/2022,11:00 AM,^ADAUSDT,0.471703,0.477080,0.471696,0.476791,951,
5/29/2022,10:00 AM,^ADAUSDT,0.474880,0.474880,0.470627,0.471703,784,
5/29/2022,9:00 AM,^ADAUSDT,0.474268,0.475421,0.473698,0.474867,628,
5/29/2022,8:00 AM,^ADAUSDT,0.474629,0.476430,0.473864,0.474268,709,
5/29/2022,7:00 AM,^ADAUSDT,0.471448,0.474769,0.470981,0.474629,743,
5/29/2022,6:00 AM,^ADAUSDT,0.467097,0.471448,0.467090,0.471448,687,
5/29/2022,5:00 AM,^ADAUSDT,0.462671,0.467556,0.462667,0.467097,677,
5/29/2022,4:00 AM,^ADAUSDT,0.464411,0.464411,0.462222,0.462671,625,
5/29/2022,3:00 AM,^ADAUSDT,0.464756,0.466467,0.463045,0.464411,659,
5/29/2022,2:00 AM,^ADAUSDT,0.462776,0.465429,0.462693,0.464756,595,
5/29/2022,1:00 AM,^ADAUSDT,0.460590,0.463420,0.460590,0.462776,668,
5/29/2022,12:00 AM,^ADAUSDT,0.458713,0.461436,0.458223,0.460590,670,
5/28/2022,11:00 PM,^ADAUSDT,0.459952,0.459965,0.457974,0.458713,660,
5/28/2022,10:00 PM,^ADAUSDT,0.459099,0.460099,0.457590,0.459952,670,
5/28/2022,9:00 PM,^ADAUSDT,0.465442,0.465442,0.457904,0.459099,702,
5/28/2022,8:00 PM,^ADAUSDT,0.464992,0.466432,0.462377,0.465423,735,
5/28/2022,7:00 PM,^ADAUSDT,0.464157,0.466843,0.462894,0.464992,782,
5/28/2022,6:00 PM,^ADAUSDT,0.462288,0.467314,0.462007,0.464157,969,
5/28/2022,5:00 PM,^ADAUSDT,0.464843,0.464843,0.461805,0.462288,939,
5/28/2022,4:00 PM,^ADAUSDT,0.464607,0.465984,0.464057,0.464843,911,
5/28/2022,3:00 PM,^ADAUSDT,0.464571,0.466019,0.462957,0.464607,1011,
5/28/2022,2:00 PM,^ADAUSDT,0.463609,0.465724,0.462503,0.464571,1031,
5/28/2022,1:00 PM,^ADAUSDT,0.459877,0.463714,0.459801,0.463609,1024,
5/28/2022,12:00 PM,^ADAUSDT,0.462516,0.462740,0.458326,0.459877,997,
5/28/2022,11:00 AM,^ADAUSDT,0.461890,0.464363,0.460830,0.462516,908,
5/28/2022,10:00 AM,^ADAUSDT,0.459519,0.465254,0.459368,0.461890,1037,
5/28/2022,9:00 AM,^ADAUSDT,0.461803,0.463501,0.459337,0.459519,1079,
5/28/2022,8:00 AM,^ADAUSDT,0.460864,0.463918,0.459829,0.461803,1061,
5/28/2022,7:00 AM,^ADAUSDT,0.457689,0.461302,0.456164,0.460864,1083,
5/28/2022,6:00 AM,^ADAUSDT,0.456207,0.460331,0.455268,0.457689,1083,
5/28/2022,5:00 AM,^ADAUSDT,0.456727,0.457812,0.454623,0.456207,1125,
5/28/2022,4:00 AM,^ADAUSDT,0.455724,0.457221,0.454949,0.456727,1142,
5/28/2022,3:00 AM,^ADAUSDT,0.459609,0.461715,0.454646,0.455724,1182,
5/28/2022,2:00 AM,^ADAUSDT,0.462251,0.462620,0.458974,0.459609,1160,
5/28/2022,1:00 AM,^ADAUSDT,0.462117,0.462882,0.459569,0.462251,1131,
5/28/2022,12:00 AM,^ADAUSDT,0.457575,0.463013,0.457023,0.462117,1154,
5/27/2022,11:00 PM,^ADAUSDT,0.455296,0.458489,0.452823,0.457575,1162,
5/27/2022,10:00 PM,^ADAUSDT,0.452045,0.455296,0.449064,0.455296,1148,
5/27/2022,9:00 PM,^ADAUSDT,0.453211,0.455669,0.448563,0.452045,1112,
5/27/2022,8:00 PM,^ADAUSDT,0.461085,0.462799,0.453002,0.453211,1162,
5/27/2022,7:00 PM,^ADAUSDT,0.455066,0.461423,0.454667,0.461085,1201,
5/27/2022,6:00 PM,^ADAUSDT,0.459717,0.459733,0.453239,0.455066,1195,
5/27/2022,5:00 PM,^ADAUSDT,0.457048,0.462008,0.456572,0.459717,1083,
5/27/2022,4:00 PM,^ADAUSDT,0.458813,0.461858,0.457048,0.457048,1039,
5/27/2022,3:00 PM,^ADAUSDT,0.458226,0.461391,0.457413,0.458813,1118,
5/27/2022,2:00 PM,^ADAUSDT,0.450205,0.459608,0.448710,0.458226,1100,
5/27/2022,1:00 PM,^ADAUSDT,0.452788,0.456834,0.446988,0.450205,1039,
5/27/2022,12:00 PM,^ADAUSDT,0.456330,0.460236,0.452089,0.452788,1075,
5/27/2022,11:00 AM,^ADAUSDT,0.460325,0.463183,0.455902,0.456330,1055,
5/27/2022,10:00 AM,^ADAUSDT,0.466125,0.467900,0.460269,0.460325,993,
5/27/2022,9:00 AM,^ADAUSDT,0.476087,0.476167,0.465858,0.466125,1149,
5/27/2022,8:00 AM,^ADAUSDT,0.472060,0.476919,0.469687,0.476087,994,
5/27/2022,7:00 AM,^ADAUSDT,0.462913,0.473153,0.462084,0.472060,864,
5/27/2022,6:00 AM,^ADAUSDT,0.457769,0.467072,0.457173,0.462913,839,
5/27/2022,5:00 AM,^ADAUSDT,0.461893,0.465005,0.457207,0.457625,1065,
5/27/2022,4:00 AM,^ADAUSDT,0.458772,0.462050,0.456949,0.461893,1118,
5/27/2022,3:00 AM,^ADAUSDT,0.462534,0.464929,0.458599,0.458772,1149,
5/27/2022,2:00 AM,^ADAUSDT,0.459634,0.466731,0.458393,0.462534,1122,
5/27/2022,1:00 AM,^ADAUSDT,0.451860,0.460547,0.450577,0.459634,1131,
