Date,Time,Open,High,Low,Close,Volume,Name,Symbol
23-08-2017,09:00:00,4207.77,4208.77,4150.65,4196.42,56,,
23-08-2017,10:00:00,4201.75,4254.79,4166.27,4239.46,64,,
23-08-2017,11:00:00,4239.46,4259.58,4166.33,4180.01,54,,
23-08-2017,12:00:00,4209.47,4209.47,4150.65,4150.65,25,,
23-08-2017,13:00:00,4183.67,4183.67,4103.51,4156.61,35,,
23-08-2017,14:00:00,4116.26,4156.75,4074.87,4090,40,,
23-08-2017,15:00:00,4101.53,4178.65,4073.41,4118,52,,
23-08-2017,16:00:00,4118,4147,4069.8,4089.18,27,,
23-08-2017,17:00:00,4089.18,4152,4088.44,4147.88,35,,
23-08-2017,18:00:00,4128.5,4169.99,4113.79,4153.68,39,,
23-08-2017,19:00:00,4147.92,4160.73,4113.9,4141.41,33,,
23-08-2017,20:00:00,4141.42,4204.55,4140.78,4155.82,28,,
23-08-2017,21:00:00,4156.36,4190.48,4097.83,4130,33,,
23-08-2017,22:00:00,4109.74,4149,4085.01,4112.49,36,,
23-08-2017,23:00:00,4112.49,4146.53,4090.39,4128.82,32,,
24-08-2017,00:00:00,4132.82,4177.64,4131.91,4148.34,28,,
24-08-2017,01:00:00,4149,4177.18,4133.41,4156.88,38,,
24-08-2017,02:00:00,4156.88,4196.94,4153.32,4186.88,25,,
24-08-2017,03:00:00,4186.88,4224,4168.26,4196.73,32,,
24-08-2017,04:00:00,4168.38,4250.94,4150,4172,63,,
24-08-2017,05:00:00,4185,4211,4165.2,4180,47,,
24-08-2017,06:00:00,4185.38,4224.64,4136.33,4136.33,36,,
24-08-2017,07:00:00,4160,4185,4136.58,4162.48,26,,
24-08-2017,08:00:00,4161.48,4207.77,4148.78,4201.2,58,,
24-08-2017,09:00:00,4202,4250.9,4192.18,4208,35,,
24-08-2017,10:00:00,4208,4250.71,4207.78,4214,33,,
24-08-2017,11:00:00,4239.5,4245,4196.01,4196.01,23,,
24-08-2017,12:00:00,4202.06,4212,4178.22,4207,30,,
24-08-2017,13:00:00,4180.02,4247.99,4180.02,4220.38,29,,
24-08-2017,14:00:00,4220.38,4250.77,4206.61,4235,25,,
24-08-2017,15:00:00,4200,4234,4193.17,4205.87,22,,
24-08-2017,16:00:00,4205.87,4291,4205.87,4270,31,,
24-08-2017,17:00:00,4290,4371.68,4267.86,4335,36,,
24-08-2017,18:00:00,4335,4357.36,4297.76,4319.66,30,,
24-08-2017,19:00:00,4319.66,4370,4313.57,4347.54,53,,
24-08-2017,20:00:00,4353.49,4358,4328.58,4329,27,,
24-08-2017,21:00:00,4329.01,4363.71,4295.76,4295.8,34,,
24-08-2017,22:00:00,4295.8,4362,4295.75,4328.62,31,,
24-08-2017,23:00:00,4345.32,4362,4296.63,4335.28,24,,
25-08-2017,00:00:00,4335.28,4339.98,4267.5,4267.5,24,,
25-08-2017,01:00:00,4274.84,4335,4274.84,4317.67,30,,
25-08-2017,02:00:00,4326.33,4354.35,4316.54,4316.55,22,,
25-08-2017,03:00:00,4316.55,4348,4316.55,4348,18,,
25-08-2017,04:00:00,4336,4352,4330,4330,8,,
25-08-2017,05:00:00,4337.28,4349,4298.74,4314.33,23,,
25-08-2017,06:00:00,4315,4361.28,4261.13,4317.67,113,,
25-08-2017,07:00:00,4317.67,4345,4281.01,4304.9,30,,
25-08-2017,08:00:00,4321.44,4340,4291.52,4330,14,,
25-08-2017,09:00:00,4299,4422.29,4299,4409.3,20,,
25-08-2017,10:00:00,4417.7,4433.25,4355.86,4389.58,22,,
25-08-2017,11:00:00,4423.81,4453.91,4385.34,4399.79,12,,
25-08-2017,12:00:00,4399.79,4424.99,4372.29,4402.34,17,,
25-08-2017,13:00:00,4410,4449.44,4388.89,4388.89,6,,
25-08-2017,14:00:00,4388.89,4388.89,4250.01,4250.01,16,,
25-08-2017,15:00:00,4250.01,4335,4247.48,4268.85,8,,
25-08-2017,16:00:00,4298.67,4347.54,4250.08,4309.22,14,,
25-08-2017,17:00:00,4311.71,4365,4289,4302.13,9,,
25-08-2017,18:00:00,4302.13,4343.18,4274.33,4280,10,,
25-08-2017,19:00:00,4280.01,4315,4280,4308.13,5,,
25-08-2017,20:00:00,4283,4300.13,4260.65,4260.65,8,,
25-08-2017,21:00:00,4296.39,4305.75,4228.99,4273.84,19,,
25-08-2017,22:00:00,4269.86,4297.94,4256.14,4282.8,11,,
25-08-2017,23:00:00,4271.51,4297.94,4252.44,4263.04,6,,
26-08-2017,00:00:00,4272.98,4319.67,4267.98,4280.82,20,,
26-08-2017,01:00:00,4300.26,4319.7,4280.82,4297.94,5,,
26-08-2017,02:00:00,4319.7,4319.7,4318.74,4318.74,3,,
26-08-2017,03:00:00,4319.7,4319.7,4260.88,4303.08,14,,
26-08-2017,04:00:00,4302.59,4303.57,4274.84,4289.12,5,,
26-08-2017,05:00:00,4317.99,4317.99,4289.12,4292.8,12,,
26-08-2017,06:00:00,4301.31,4301.31,4274.83,4274.83,13,,
26-08-2017,07:00:00,4273.84,4306.74,4221.14,4247.94,16,,
26-08-2017,08:00:00,4247.95,4295,4234,4261.89,10,,
26-08-2017,09:00:00,4271.85,4275,4259.9,4259.9,3,,
26-08-2017,10:00:00,4259.9,4275,4246.96,4275,5,,
26-08-2017,11:00:00,4257,4275,4212.41,4234.7,17,,
26-08-2017,12:00:00,4234.7,4263.87,4234.7,4262.99,5,,
26-08-2017,13:00:00,4262,4318,4237,4292.36,19,,
26-08-2017,14:00:00,4292.36,4351.32,4269.83,4302,17,,
26-08-2017,15:00:00,4302,4345,4301.14,4319.64,8,,
26-08-2017,16:00:00,4312.93,4334.99,4288.1,4297.94,13,,
26-08-2017,17:00:00,4330,4352.18,4288.09,4330,11,,
