Date,Timse,Open,High,Low,Close,Volume
28-02-2017,11:00:00,142.968,143,141.85,142.12,60
28-02-2017,12:00:00,142.12,142.449,142.01,142.36,60
28-02-2017,13:00:00,142.36,142.695,142.14,142.15,60
28-02-2017,14:00:00,142.15,142.235,141.97,142.04,60
28-02-2017,15:00:00,142.046,142.3,141.88,142.106,30
03-01-2017,09:00:00,142.8,143.25,142.1,142.65,60
03-01-2017,10:00:00,142.659,143.14,142.32,142.66,60
03-01-2017,11:00:00,142.68,143.1,142.51,142.92,60
03-01-2017,12:00:00,142.945,143,142.3,142.57,60
03-01-2017,13:00:00,142.578,143,142.46,142.816,60
03-01-2017,14:00:00,142.82,142.97,142.51,142.58,60
03-01-2017,15:00:00,142.59,142.87,142.48,142.595,30
03-02-2017,09:00:00,142.139,142.665,141.25,142.14,60
03-02-2017,10:00:00,142.14,142.16,139.5,140.07,60
03-02-2017,11:00:00,140.085,140.47,139.84,140.34,60
03-02-2017,12:00:00,140.33,140.43,139.61,140.15,60
03-02-2017,13:00:00,140.15,140.21,139.61,139.76,60
03-02-2017,14:00:00,139.75,139.98,139.08,139.2,60
03-02-2017,15:00:00,139.2,139.59,139.13,139.47,30
03-03-2017,09:00:00,139.606,140.87,139.35,139.94,60
03-03-2017,10:00:00,139.94,140.1,139.13,139.18,60
03-03-2017,11:00:00,139.18,139.48,138.75,139.03,60
03-03-2017,12:00:00,139.05,139.29,138.53,138.71,60
03-03-2017,13:00:00,138.71,138.98,138.25,138.83,60
03-03-2017,14:00:00,138.83,139.199,138.55,138.94,60
03-03-2017,15:00:00,138.94,139.27,138.85,139.179,30
03-06-2017,09:00:00,140.946,142.716,140.946,141.94,60
03-06-2017,10:00:00,141.935,141.935,140.9,141.24,60
03-06-2017,11:00:00,141.24,141.28,140.75,140.81,60
03-06-2017,12:00:00,140.81,141.45,140.52,141.45,60
03-06-2017,13:00:00,141.477,142.22,141.43,142.07,60
03-06-2017,14:00:00,142.07,142.15,141.47,142.1,60
03-06-2017,15:00:00,142.1,142.44,141.919,141.94,30
03-07-2017,09:00:00,141.967,142.3,140.99,141.6,60
03-07-2017,10:00:00,141.608,141.85,141.1,141.1,60
03-07-2017,11:00:00,141.1,141.11,140.39,140.79,60
03-07-2017,12:00:00,140.8,141.1,140.65,140.98,60
03-07-2017,13:00:00,140.99,141.425,140.85,141.36,60
03-07-2017,14:00:00,141.36,141.53,141.19,141.42,60
03-07-2017,15:00:00,141.42,141.45,141.04,141.365,30
03-08-2017,09:00:00,141.437,141.8,140.8,141.749,60
03-08-2017,10:00:00,141.74,142.02,141.02,141.04,60
03-08-2017,11:00:00,141.037,141.06,140.26,140.54,60
03-08-2017,12:00:00,140.54,140.8,140.36,140.36,60
03-08-2017,13:00:00,140.366,140.787,139.78,140.23,60
03-08-2017,14:00:00,140.217,140.4,139.9,140.3,60
03-08-2017,15:00:00,140.3,140.519,140.18,140.31,30
03-09-2017,09:00:00,140.097,141.228,140.055,140.55,60
03-09-2017,10:00:00,140.55,140.89,140.35,140.549,60
03-09-2017,11:00:00,140.55,140.749,140.27,140.32,60
03-09-2017,12:00:00,140.34,140.56,140.3,140.44,60
03-09-2017,13:00:00,140.44,140.486,139.73,140.18,60
03-09-2017,14:00:00,140.19,140.38,140.03,140.38,60
03-09-2017,15:00:00,140.378,140.68,140.35,140.53,30
03-10-2017,09:00:00,141.295,141.701,140.61,141.14,60
03-10-2017,10:00:00,141.147,141.42,140.81,141.4,60
03-10-2017,11:00:00,141.38,141.42,141,141.08,60
03-10-2017,12:00:00,141.08,141.1,140.63,140.88,60
03-10-2017,13:00:00,140.91,141.25,140.87,140.98,60
03-10-2017,14:00:00,140.975,141.01,140.28,140.79,60
03-10-2017,15:00:00,140.797,140.97,140.65,140.86,30
13-03-2017,08:00:00,140.884,142.111,140.26,142.011,60
13-03-2017,09:00:00,142.02,142.25,141.65,142.128,60
13-03-2017,10:00:00,142.137,142.63,141.999,142.56,59
13-03-2017,11:00:00,142.58,143.31,142.56,143.19,60
13-03-2017,12:00:00,143.17,143.3,142.7,142.98,60
13-03-2017,13:00:00,142.98,143.3,142.96,143.18,60
13-03-2017,14:00:00,143.189,143.687,143,143.418,46
13-03-2017,15:00:00,143.487,143.487,143.417,143.447,6
14-03-2017,08:00:00,142.893,143.305,142.332,142.51,60
14-03-2017,09:00:00,142.491,142.77,141.7,142.71,60
14-03-2017,10:00:00,142.718,142.93,142.28,142.44,60
14-03-2017,11:00:00,142.45,143.07,142.32,142.8,60
14-03-2017,12:00:00,142.8,143.147,142.677,142.84,60
14-03-2017,13:00:00,142.84,143.19,142.6,143.12,60
14-03-2017,14:00:00,143.12,143.26,142.87,143.147,31
15-03-2017,08:00:00,144.15,144.41,143.23,144.4,60
15-03-2017,09:00:00,144.4,144.685,144.07,144.37,60
15-03-2017,10:00:00,144.38,144.499,144.1,144.36,60
15-03-2017,11:00:00,144.356,144.37,144.12,144.23,60
15-03-2017,12:00:00,144.23,145.15,144.1,144.8,60
15-03-2017,13:00:00,144.805,145.45,144.77,145.21,60
15-03-2017,14:00:00,145.21,145.507,145.18,145.249,31
16-03-2017,08:00:00,145.446,146.07,144.61,145.81,60
16-03-2017,09:00:00,145.83,146.48,145.25,145.45,60
16-03-2017,10:00:00,145.45,145.71,145.05,145.59,60
16-03-2017,11:00:00,145.588,145.63,145.05,145.18,60
16-03-2017,12:00:00,145.19,145.46,144.996,145.07,60
16-03-2017,13:00:00,145.07,145.289,144.63,144.63,60
16-03-2017,14:00:00,144.63,144.65,144.22,144.327,31
17-03-2017,08:00:00,143.93,145.26,143.39,144.78,60
17-03-2017,09:00:00,144.78,144.98,144.43,144.73,60
17-03-2017,10:00:00,144.74,145.17,144.49,145.17,60
17-03-2017,11:00:00,145.15,145.39,145.01,145.28,60
17-03-2017,12:00:00,145.29,145.38,144.96,145.18,60
17-03-2017,13:00:00,145.17,145.75,145.08,145.47,60
17-03-2017,14:00:00,145.49,145.49,144.95,145.07,31
20-03-2017,08:00:00,145,145.96,144.56,145.85,60
20-03-2017,09:00:00,145.86,146.01,145.47,145.7,60
20-03-2017,10:00:00,145.7,146.17,145.63,145.98,60
20-03-2017,11:00:00,145.99,146.22,145.68,145.8,59
20-03-2017,12:00:00,145.81,146.07,145.3,146.03,60
20-03-2017,13:00:00,146.01,146.03,145.65,145.91,60
20-03-2017,14:00:00,145.91,145.92,145.75,145.79,30
21-03-2017,08:00:00,146.18,147.69,146.18,146.42,60
21-03-2017,09:00:00,146.41,146.58,144.06,144.37,60
21-03-2017,10:00:00,144.39,144.88,143.77,144.56,60
21-03-2017,11:00:00,144.54,144.71,144,144.66,60
21-03-2017,12:00:00,144.69,144.69,143.08,143.1,60
21-03-2017,13:00:00,143.11,143.27,142.64,142.64,60
21-03-2017,14:00:00,142.64,142.75,142.11,142.35,31
22-03-2017,08:00:00,142.42,143.71,141.12,141.19,60
22-03-2017,09:00:00,141.23,142.24,140.92,141.86,60
22-03-2017,10:00:00,141.83,141.84,140.96,141.06,60
22-03-2017,11:00:00,141.04,141.24,140.75,141.04,60
22-03-2017,12:00:00,141.03,141.33,140.86,140.87,60
22-03-2017,13:00:00,140.86,142.07,140.85,141.99,60
22-03-2017,14:00:00,142.01,142.7,141.83,142.63,30
23-03-2017,08:00:00,142.01,142.78,141.51,142.05,60
23-03-2017,09:00:00,142.05,142.38,141.85,142.02,60
23-03-2017,10:00:00,142,142.08,141.7,141.72,60
23-03-2017,11:00:00,141.73,142.1,141.29,141.31,60
23-03-2017,12:00:00,141.3,142.01,141.27,141.97,60
23-03-2017,13:00:00,141.94,142.26,141.8,141.82,60
23-03-2017,14:00:00,141.84,141.99,141.6,141.83,30
24-03-2017,08:00:00,142.02,142.62,141.95,142.15,60
24-03-2017,09:00:00,142.16,142.74,142.07,142.65,60
24-03-2017,10:00:00,142.658,142.78,142.06,142.48,60
24-03-2017,11:00:00,142.48,142.589,142.17,142.3,59
24-03-2017,12:00:00,142.31,142.358,142.05,142.28,59
24-03-2017,13:00:00,142.28,142.31,141.58,141.94,60
24-03-2017,14:00:00,141.937,142.44,141.81,141.967,31
27-03-2017,08:00:00,140.9,142.13,140,142.1,60
27-03-2017,09:00:00,142.12,142.5,141.94,142.46,60
27-03-2017,10:00:00,142.49,143.198,142.36,143.148,60
27-03-2017,11:00:00,143.126,144.35,143.037,144.279,60
27-03-2017,12:00:00,144.257,144.34,143.756,143.996,60
27-03-2017,13:00:00,143.997,144.39,143.886,144.106,60
27-03-2017,14:00:00,144.108,144.328,143.996,144.076,30
28-03-2017,08:00:00,144.198,145.087,143.916,144.428,60
28-03-2017,09:00:00,144.458,145.338,144.296,145.038,60
28-03-2017,10:00:00,145.058,145.569,144.998,145.306,60
28-03-2017,11:00:00,145.33,145.958,145.306,145.769,59
28-03-2017,12:00:00,145.758,146.098,145.688,145.976,60
28-03-2017,13:00:00,145.987,146.018,145.316,145.366,60
28-03-2017,14:00:00,145.39,145.44,145.136,145.166,31
29-03-2017,08:00:00,145.426,146.69,144.888,146.616,60
29-03-2017,09:00:00,146.619,147.169,146.268,146.406,60
29-03-2017,10:00:00,146.419,146.679,146.086,146.618,60
29-03-2017,11:00:00,146.618,146.786,146.337,146.658,60
29-03-2017,12:00:00,146.659,146.69,146.369,146.588,60
29-03-2017,13:00:00,146.566,146.678,146.296,146.648,60
29-03-2017,14:00:00,146.648,146.777,146.346,146.478,30
30-03-2017,08:00:00,146.728,147.409,146.529,146.836,60
30-03-2017,09:00:00,146.836,147.829,146.818,147.629,59
30-03-2017,10:00:00,147.647,147.647,146.798,147.36,60
30-03-2017,11:00:00,147.356,147.708,147.156,147.698,60
30-03-2017,12:00:00,147.71,148.05,147.686,148.026,60
30-03-2017,13:00:00,148.028,148.188,147.686,148.096,60
30-03-2017,14:00:00,148.086,148.268,147.918,148.049,30
31-03-2017,08:00:00,147.98,148.068,147.466,147.536,60
31-03-2017,09:00:00,147.537,148.018,147.316,147.34,60
31-03-2017,10:00:00,147.359,147.827,147.318,147.786,60
31-03-2017,11:00:00,147.786,148.218,147.709,148.188,60
31-03-2017,12:00:00,148.198,148.206,147.579,147.736,59
31-03-2017,13:00:00,147.72,148.119,147.637,148.036,60
31-03-2017,14:00:00,148.036,148.14,147.797,147.808,30
04-03-2017,08:00:00,146.796,147.957,146.618,147.077,60
04-03-2017,09:00:00,147.07,147.08,146.098,146.299,60
04-03-2017,10:00:00,146.296,146.329,145.726,146.11,60
04-03-2017,11:00:00,146.119,146.78,146.066,146.669,60
04-03-2017,12:00:00,146.669,146.899,146.496,146.84,60
04-03-2017,13:00:00,146.84,147.309,146.836,147.058,60
04-03-2017,14:00:00,147.066,147.1,146.856,146.889,31
04-04-2017,08:00:00,146.529,146.995,145.618,145.848,60
04-04-2017,09:00:00,145.846,145.919,145.196,145.36,60
04-04-2017,10:00:00,145.367,145.529,145.247,145.398,60
04-04-2017,11:00:00,145.396,145.54,145.148,145.249,60
04-04-2017,12:00:00,145.249,145.32,145.006,145.056,60
04-04-2017,13:00:00,145.056,145.239,144.886,145.108,60
04-04-2017,14:00:00,145.098,145.518,145.096,145.455,31
04-05-2017,08:00:00,146.195,146.199,145.016,145.13,60
04-05-2017,09:00:00,145.13,145.977,144.919,145.61,60
04-05-2017,10:00:00,145.59,145.758,145.387,145.459,60
04-05-2017,11:00:00,145.466,145.608,145.267,145.478,60
04-05-2017,12:00:00,145.468,145.518,144.967,145.109,60
04-05-2017,13:00:00,145.109,145.119,143.598,143.738,60
04-05-2017,14:00:00,143.738,143.868,143.258,143.545,32
04-06-2017,08:00:00,143.985,144.018,143.036,143.628,60
04-06-2017,09:00:00,143.639,143.869,143.195,143.717,60
04-06-2017,10:00:00,143.717,143.906,143.349,143.528,60
04-06-2017,11:00:00,143.546,143.667,143.158,143.539,60
04-06-2017,12:00:00,143.569,143.678,143.369,143.446,60
04-06-2017,13:00:00,143.447,143.729,143.237,143.597,60
04-06-2017,14:00:00,143.599,143.82,143.547,143.707,31
04-07-2017,08:00:00,143.775,143.779,142.746,143.607,60
04-07-2017,09:00:00,143.629,143.729,143.138,143.238,60
04-07-2017,10:00:00,143.238,143.528,143.108,143.298,59
04-07-2017,11:00:00,143.298,143.758,143.276,143.719,60
04-07-2017,12:00:00,143.719,143.868,143.309,143.32,60
04-07-2017,13:00:00,143.32,143.339,143.008,143.069,60
04-07-2017,14:00:00,143.058,143.179,142.927,143.087,31
04-10-2017,08:00:00,142.898,143.009,141.497,141.646,60
04-10-2017,09:00:00,141.647,141.967,141.206,141.71,60
04-10-2017,10:00:00,141.715,142.969,141.538,142.886,60
04-10-2017,11:00:00,142.896,144.32,142.886,144.218,60
04-10-2017,12:00:00,144.218,144.63,143.888,143.947,60
04-10-2017,13:00:00,143.947,144.339,143.796,143.908,60
04-10-2017,14:00:00,143.907,144.039,143.72,143.807,31
04-11-2017,08:00:00,144.209,144.457,142.719,143.059,60
04-11-2017,09:00:00,143.058,143.088,141.959,142.179,60
04-11-2017,10:00:00,142.196,143.369,142.176,143.367,60
04-11-2017,11:00:00,143.367,143.839,143.02,143.619,60
04-11-2017,12:00:00,143.616,144.07,143.588,143.949,60
04-11-2017,13:00:00,143.949,144.399,143.928,144.268,60
04-11-2017,14:00:00,144.266,144.396,143.978,144.347,31
04-12-2017,08:00:00,144.779,145.538,144.448,145.147,60
04-12-2017,09:00:00,145.148,145.719,144.315,144.399,60
04-12-2017,10:00:00,144.397,144.399,143.628,144.08,60
04-12-2017,11:00:00,144.076,144.209,143.668,144.076,60
04-12-2017,12:00:00,144.076,144.528,143.957,144.408,60
04-12-2017,13:00:00,144.407,144.488,143.797,144.049,60
04-12-2017,14:00:00,144.059,144.12,143.519,143.798,31
13-04-2017,08:00:00,144.245,144.526,143.346,144.199,60
13-04-2017,09:00:00,144.228,144.5,143.806,143.968,60
13-04-2017,10:00:00,143.966,144.15,143.667,144.03,60
13-04-2017,11:00:00,144.028,144.129,143.176,143.448,60
13-04-2017,12:00:00,143.459,143.489,142.896,143.436,60
13-04-2017,13:00:00,143.436,143.79,143.026,143.077,60
13-04-2017,14:00:00,143.077,143.127,142.747,142.877,31
17-04-2017,08:00:00,144.45,146.259,144.446,145.536,60
17-04-2017,09:00:00,145.547,146.857,145.447,146.479,60
17-04-2017,10:00:00,146.479,147.009,146.476,146.858,60
17-04-2017,11:00:00,146.866,147.116,146.636,146.918,60
17-04-2017,12:00:00,146.927,146.999,146.446,146.63,60
17-04-2017,13:00:00,146.63,146.98,146.537,146.649,60
17-04-2017,14:00:00,146.649,147.3,146.488,147.246,31
18-04-2017,08:00:00,147.278,147.348,143.596,144.169,60
18-04-2017,09:00:00,144.169,146.669,144.047,145.778,60
18-04-2017,10:00:00,145.788,145.788,143.7,143.78,60
18-04-2017,11:00:00,143.798,143.8,141.519,142.26,60
18-04-2017,12:00:00,142.26,143.638,141.986,143.117,60
18-04-2017,13:00:00,143.128,143.36,142.639,143.056,60
18-04-2017,14:00:00,143.06,143.759,142.926,143.309,31
19-04-2017,08:00:00,143.359,143.938,141.369,141.875,60
19-04-2017,09:00:00,141.885,142.388,141.686,141.796,60
19-04-2017,10:00:00,141.798,141.809,140.767,140.769,60
19-04-2017,11:00:00,140.767,141.239,140.036,140.378,60
19-04-2017,12:00:00,140.377,140.38,138.919,139.409,60
19-04-2017,13:00:00,139.408,139.429,138.646,138.748,60
19-04-2017,14:00:00,138.75,139.798,138.718,139.75,31
20-04-2017,08:00:00,140.225,141.58,139.249,141.099,60
20-04-2017,09:00:00,141.098,141.339,140.73,140.976,60
20-04-2017,10:00:00,140.978,141.516,140.776,141.197,60
20-04-2017,11:00:00,141.206,141.388,140.898,141.126,60
20-04-2017,12:00:00,141.138,141.789,141.097,141.729,60
20-04-2017,13:00:00,141.718,141.718,140.708,140.838,60
20-04-2017,14:00:00,140.846,141.48,140.846,141.169,31
21-04-2017,08:00:00,141.307,142.318,140.897,142.257,60
21-04-2017,09:00:00,142.267,142.287,141.036,141.308,60
21-04-2017,10:00:00,141.309,141.458,141.006,141.219,60
21-04-2017,11:00:00,141.219,141.5,141.049,141.476,60
21-04-2017,12:00:00,141.468,142.369,141.406,142.328,60
21-04-2017,13:00:00,142.328,142.749,142.176,142.736,60
21-04-2017,14:00:00,142.737,143.019,142.457,142.869,31
24-04-2017,08:00:00,143.576,144.44,143.397,144.177,60
24-04-2017,09:00:00,144.18,144.289,143.666,143.868,60
24-04-2017,10:00:00,143.878,143.928,143.548,143.759,60
24-04-2017,11:00:00,143.759,144,143.736,143.758,60
24-04-2017,12:00:00,143.758,143.979,143.568,143.788,60
24-04-2017,13:00:00,143.788,143.98,143.576,143.788,60
24-04-2017,14:00:00,143.777,143.979,143.698,143.797,31
25-04-2017,08:00:00,147.379,148.519,146.265,148.279,60
25-04-2017,09:00:00,148.296,149.857,147.628,149.737,60
25-04-2017,10:00:00,149.757,152.507,149.646,151.598,60
25-04-2017,11:00:00,151.599,153.376,151.356,152.839,60
25-04-2017,12:00:00,152.849,153.488,152.116,152.276,60
25-04-2017,13:00:00,152.289,152.836,151.748,152.749,60
25-04-2017,14:00:00,152.739,153.09,152.146,152.148,31
26-04-2017,08:00:00,151.656,151.699,150.03,151.308,60
26-04-2017,09:00:00,151.309,152.108,151.078,151.76,60
26-04-2017,10:00:00,151.758,152.128,150.858,151.059,60
26-04-2017,11:00:00,151.099,151.136,150.009,150.517,60
26-04-2017,12:00:00,150.529,150.658,149.387,150.05,60
26-04-2017,13:00:00,150.05,150.439,149.896,150.269,60
26-04-2017,14:00:00,150.268,150.299,149.749,150.115,31
27-04-2017,08:00:00,150.488,151.249,149.297,150.877,60
27-04-2017,09:00:00,150.899,151.939,150.767,151.726,60
27-04-2017,10:00:00,151.739,151.939,151.457,151.818,60
27-04-2017,11:00:00,151.819,152.349,151.739,152.296,60
27-04-2017,12:00:00,152.297,152.79,152.176,152.658,60
27-04-2017,13:00:00,152.658,153.149,152.629,153.078,60
27-04-2017,14:00:00,153.078,153.469,152.996,153.057,31
28-04-2017,08:00:00,152.898,152.899,151.356,152.208,60
28-04-2017,09:00:00,152.208,152.59,151.568,151.869,60
28-04-2017,10:00:00,151.869,152.249,151.707,151.777,60
28-04-2017,11:00:00,151.78,152.48,151.768,152.237,60
28-04-2017,12:00:00,152.24,152.3,151.607,151.625,60
28-04-2017,13:00:00,151.627,151.819,150.938,151.786,60
28-04-2017,14:00:00,151.798,152.349,151.788,152.127,31
05-01-2017,08:00:00,151.638,156.239,151.619,155.867,60
