Date,Time,Open,High,Low,Close,Volume
27-01-2017,09:00:00,251.34,251.91,248.55,250.06,60
27-01-2017,10:00:00,250.06,250.91,249.18,249.3,60
27-01-2017,11:00:00,249.3,250.68,248.65,250.36,60
27-01-2017,12:00:00,250.36,251.18,250.28,250.73,60
27-01-2017,13:00:00,250.71,252.39,250.13,252.35,60
27-01-2017,14:00:00,252.31,252.46,251.67,251.91,60
27-01-2017,15:00:00,251.92,252.99,251.79,252.99,30
30-01-2017,09:00:00,252.51,255.14,247.5,249.42,60
30-01-2017,10:00:00,249.42,249.86,247.1,249.1,60
30-01-2017,11:00:00,249.1,251.25,248.81,250.2,60
30-01-2017,12:00:00,250.21,250.31,248.88,249.55,59
30-01-2017,13:00:00,249.58,250.57,249.25,250.47,59
30-01-2017,14:00:00,250.49,251.21,250,250.31,60
30-01-2017,15:00:00,250.32,250.99,250.32,250.63,30
31-01-2017,09:00:00,248.87,252.71,247.68,252.26,60
31-01-2017,10:00:00,252.27,255.76,251.83,255.43,60
31-01-2017,11:00:00,255.43,255.56,253.02,254.17,60
31-01-2017,12:00:00,254.17,254.18,252.58,253.11,60
31-01-2017,13:00:00,253.12,254.05,252.52,252.99,60
31-01-2017,14:00:00,252.99,252.99,251.62,252.15,60
31-01-2017,15:00:00,252.137,252.46,251.83,251.99,30
02-01-2017,09:00:00,253.02,253.1,249.06,251,60
02-01-2017,10:00:00,251.01,251.39,250.03,250.08,60
02-01-2017,11:00:00,250.09,250.57,249.34,250.36,60
02-01-2017,12:00:00,250.37,250.52,249.75,249.96,60
02-01-2017,13:00:00,249.97,251.36,249.8,250.54,60
02-01-2017,14:00:00,250.54,250.58,249.4,249.49,60
02-01-2017,15:00:00,249.47,250.02,249.06,249.16,30
02-02-2017,09:00:00,248.2,250.67,247.75,249.8,60
02-02-2017,10:00:00,249.8,251.91,249.66,251.75,60
02-02-2017,11:00:00,251.75,252.05,251,251.54,60
02-02-2017,12:00:00,251.54,252.32,251.396,251.66,60
02-02-2017,13:00:00,251.66,251.91,251.01,251.01,60
02-02-2017,14:00:00,251.01,251.68,250.74,251.41,60
02-02-2017,15:00:00,251.42,251.67,251.08,251.407,30
02-03-2017,09:00:00,251.907,251.91,249.68,251.09,60
02-03-2017,10:00:00,251.089,251.88,250.54,251.09,60
02-03-2017,11:00:00,251.09,251.35,250.69,251.08,60
02-03-2017,12:00:00,251.11,251.407,251.026,251.28,60
02-03-2017,13:00:00,251.32,251.76,251.01,251.32,59
02-03-2017,14:00:00,251.32,251.41,250.87,250.96,60
02-03-2017,15:00:00,250.97,251.41,250.92,251.24,30
02-06-2017,09:00:00,250.717,253.87,250.63,252.21,60
02-06-2017,10:00:00,252.24,253.948,252.1,253.71,60
02-06-2017,11:00:00,253.71,254.13,253.33,253.79,60
02-06-2017,12:00:00,253.79,254.76,253.74,254.66,60
02-06-2017,13:00:00,254.656,256.29,254.6,255.85,60
02-06-2017,14:00:00,255.85,256.95,255.7,256.75,60
02-06-2017,15:00:00,256.75,257.76,256.62,257.76,30
02-07-2017,09:00:00,258.116,259.99,256.42,257.16,60
02-07-2017,10:00:00,257.165,258.49,257.01,257.3,60
02-07-2017,11:00:00,257.3,258.32,256.78,258.12,60
02-07-2017,12:00:00,258.15,258.2,256.86,257.27,58
02-07-2017,13:00:00,257.32,258.22,256.82,257.62,60
02-07-2017,14:00:00,257.66,257.95,257.02,257.1,60
02-07-2017,15:00:00,257.1,257.49,256.75,257.44,30
02-08-2017,09:00:00,257.178,258.78,256.2,258.3,60
02-08-2017,10:00:00,258.31,261.61,258.01,260.78,60
02-08-2017,11:00:00,260.777,262.01,260.5,261.1,60
02-08-2017,12:00:00,261.11,262.21,260.64,262.16,60
02-08-2017,13:00:00,262.159,263.13,261.76,262.85,60
02-08-2017,14:00:00,262.8,263.353,262.32,262.5,60
02-08-2017,15:00:00,262.51,262.75,261.19,261.928,30
02-09-2017,09:00:00,266.15,271.02,266.15,268.53,60
02-09-2017,10:00:00,268.53,269.14,266.9,267.72,60
02-09-2017,11:00:00,267.73,269.24,267.7,268.8,60
02-09-2017,12:00:00,268.8,269.28,268.63,269.01,60
02-09-2017,13:00:00,269.08,270.92,268.8,270.697,60
02-09-2017,14:00:00,270.69,270.77,268.32,268.99,60
02-09-2017,15:00:00,268.99,269.537,268.52,269.08,30
02-10-2017,09:00:00,269.696,270.6,266.13,270.45,60
02-10-2017,10:00:00,270.45,270.88,269.16,269.28,60
02-10-2017,11:00:00,269.306,270.21,268.51,269.69,60
02-10-2017,12:00:00,269.689,270.15,269.47,270.08,60
02-10-2017,13:00:00,270.077,270.165,268.897,269.02,60
02-10-2017,14:00:00,269.02,269.45,268.85,269.32,60
02-10-2017,15:00:00,269.327,269.439,269.04,269.15,30
13-02-2017,09:00:00,270.509,278.58,270.496,277.6,60
